,Common Ground,Label,Transcript,Group
0,red = 10,1,And tell red cube top ten grams,1
1,red = 10,1,red block would nine minus ten,1
2,blue = red,1,"red block , blue block seems pretty balanced",1
3,blue = 10,1,blue block also ten,1
4,purple > 20,1,And see 's thats twenty,1
5,purple != 20,1,And see 's thats twenty,1
6,green = 20,1,green block one probably twenty ten ten twenty,1
7,"blue = 10, green = 20, red = 10",1,green block one probably twenty ten ten twenty,1
8,purple = 30,1,Ooh looking thirty,1
10,"blue = 10, green = 20, purple = 30, red = 10",1,"im thinking red block , blue block , green block , yellow block , purple block 's ten ten twenty thirty",1
12,yellow = 50,1,fifty yellow fifty,1
13,red = 10,1,And tell red cube right ten grams yep 're going 're going flip piece paper um,2
14,blue = red,1,"needle goes red line means red block , blue block 're probably equal",2
15,blue = 10,1,blue block one probably ten grams,2
18,"blue = 10, red = 10",1,The first two ten,2
19,green = 20,1,knowing oh sorry green one,2
21,purple = 30,1,'s increment five could probably go thirty purple block,2
23,"green = 20, purple = 30",1,"purple block , green block 's twenty thirty",2
27,red = 10,1,We tell weight red cube ten grams,3
28,blue = red,1,"red block , blue block 're weight",3
29,green = 20,1,sufficient green block one 's probably twenty,3
30,purple = 30,1,purple one thirty,3
31,"green = 20, purple = 30, yellow = 50",1,green twenty purple thirty yellow block weighs fifty,3
32,green = 20,1,mentioned green twenty,3
35,yellow != 10,1,yellow course ten,3
37,yellow = 50,1,feel yellow fifty,3
38,yellow != 30,1,yellow block 's sure thirty,3
41,red = 10,1,I tell red cube ten grams,4
42,blue = 10,1,Well top ten,4
46,purple != 20,1,purple block 's purple block 's twenty purple block 's got ta thirty,4
47,purple = 30,1,purple block 's purple block 's twenty purple block 's got ta thirty,4
49,blue = 10,1,blue ten,4
50,yellow = 50,1,would yellow fifty,4
51,red = 10,1,I tell red cube ten grams,5
52,red = 10,1,alright reese fill survey end red block ten grams,5
53,blue = red,1,"'d red block , blue block 's basically 's teetering",5
54,"blue = 10, red = 10",1,"scale red block , blue block ten",5
55,green = 20,1,green block one 's twenty,5
57,green = 20,1,green twenty let 's see use hands,5
59,purple > 20,1,purple block 's heavier greather twenty,5
60,purple = 30,1,teeter teeter purple block 's less forty greater twenty purple block 's likely thirty n't options purple block 's gon na thirty,5
61,"green = 20, purple = 30",1,Thirty twenty,5
63,yellow = 50,1,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",5
64,"purple = 30, yellow = 50",1,yellow block fifty purple block thirty,5
65,purple = 30,1,let 's go thirty purple block 's thirty,5
66,red = 10,1,I tell red cube ten grams,6
67,red = 10,1,red block red one 's ten grams,6
68,blue = red,1,"seems red block , blue block might",6
71,"green = 20, red = 10",1,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking",6
72,purple > 20,1,purple block 's twenty almost seems thirty takes past,6
74,yellow = 50,1,Fifty,6
76,"green = 20, purple = 30",1,purple block 's thirty green twenty,6
77,"blue = 10, red = 10",1,red small blue ten,6
81,yellow = 50,1,would yellow forty five could fifty since 're,6
82,red = 10,1,I tell red cube ten grams,7
83,blue = 10,1,blue block seems ten,7
86,purple = 30,1,purple block 's thirty,7
87,"green = 20, purple = 30",1,So twenty thirty,7
88,yellow = 50,1,Fifty I,7
89,yellow = 50,1,ah yellow block 's fifty,7
90,yellow = 50,1,okay yellow block 's fifty,7
91,green = 20,1,green twenty,8
92,purple = 30,1,twenty purple block 's thirty,8
94,yellow > 40,1,oh yellow block 's forty,8
97,yellow > 50,1,But n't less fifty actually,8
98,yellow < 50,1,Fifty heavy,8
99,yellow = 40,1,yellow block 's forty one,8
